name
ROLE_PODIUM_ADMIN
ROLE_BBMRI_ADMIN
ROLE_ORGANISATION_ADMIN
ROLE_ORGANISATION_COORDINATOR
ROLE_REVIEWER
ROLE_RESEARCHER
